ID,PATHWAYS,SECONDARY-METABOLISM,REACTANTS,PRODUCTS,REACTION-DIRECTION
SINAPINE-ESTERASE-RXN,PWY-3301,True,"WATER, O-SINAPOYLCHOLINE","PROTON, CHOLINE, SINAPATE",LEFT-TO-RIGHT
RXN-19973,PWY-5292,True,CPD-21549,"CPD-21545, ACET, PROTON",LEFT-TO-RIGHT
RXN-8340,PWY-6823,False,"S-ADENOSYLMETHIONINE, GTP, Donor-H2","CPD-19179, MET, CH33ADO, Acceptor, PROTON",LEFT-TO-RIGHT
RXN-8511,PWY-5412,True,CPD-4750,"CPD-8695, PPI",LEFT-TO-RIGHT
RXN-14501,UNK,False,CPD-15373,CPD-12601,LEFT-TO-RIGHT
RXN66-310,PWY-6074,False,"44-DIMETHYL-824-CHOLESTADIENOL, FERROCYTOCHROME-B5, OXYGEN-MOLECULE, PROTON","CPD-4575, FERRICYTOCHROME-B5, WATER",LEFT-TO-RIGHT
RXN-11686,PWY-6602,True,CPD-15088,"VITEXIN, WATER",LEFT-TO-RIGHT
RXN-13549,PWY-5808,True,"CPD-7105, GERANYL-PP, CPD-4211, PROTON","CPD-14533, PPI",LEFT-TO-RIGHT
RXN-18669,PWY-6801,False,"ACETYL-COA, PROPANOL","CPD-18998, CO-A",LEFT-TO-RIGHT
RXN-4541,PWY-2781,True,"CPD-4442, WATER","D-Ribofuranose, CPD-4441",LEFT-TO-RIGHT
2TRANSKETO-RXN,NONOXIPENT-PWY,False,"ERYTHROSE-4P, XYLULOSE-5-PHOSPHATE","FRUCTOSE-6P, GAP",LEFT-TO-RIGHT
3-DEHYDROQUINATE-DEHYDRATASE-RXN,PWY-6707,False,DEHYDROQUINATE,"WATER, 3-DEHYDRO-SHIKIMATE",LEFT-TO-RIGHT
CDPDIGLYSYN-RXN,PHOSLIPSYN2-PWY,False,"CTP, L-PHOSPHATIDATE, PROTON","CDPDIACYLGLYCEROL, PPI",LEFT-TO-RIGHT
RXN-13828,PWY-7507,False,"ALLOCRYPTOPINE, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-14846, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXN1F-462,PWY-5390,True,"CPD-520, CPD-12575","UDP, CPD1F-437, PROTON",LEFT-TO-RIGHT
RXN-15531,PWY-7497,True,"CPD-9410, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-16766, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXN-9290,PWY-7477,True,"CPD-9905, NAD-P-OR-NOP","CPD-7092, NADH-P-OR-NOP, PROTON",LEFT-TO-RIGHT
RXN-9367,PWY-5290,True,"CPD-7857, NADP","CPD-9977, NADPH, PROTON",LEFT-TO-RIGHT
RXN-8517,PWY-5412,True,"CPD-8705, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-8706, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXN-12591,UNK,False,CPD-8910,CPD-13455,
RXN-11549,PWY-6553,False,"CPD-12480, Methylated-methyl-acceptors","CPD-12505, Demethylated-methyl-acceptors",LEFT-TO-RIGHT
PEROXID-RXN,UNK,False,"Phenolic-Donors, HYDROGEN-PEROXIDE","Phenoxyl-rad-of-phenolic-donors, WATER",LEFT-TO-RIGHT
RXN0-6274,PWY-2781,True,"CPD-4211, tRNA-Adenosines-37","6-Dimethylallyladenosine37-tRNAs, PPI",LEFT-TO-RIGHT
RXN-15513,PWY-5484,False,2-PG,G3P,LEFT-TO-RIGHT
RXN-5021,PWY-6010,True,"CPD-12575, CPD-431","UDP, APIGENIN-7-O-BETA-D-GLUCOSIDE",LEFT-TO-RIGHT
4.2.3.20-RXN,PWY-7443,False,GERANYL-PP,"CPD-8785, CPD-8785, PPI",LEFT-TO-RIGHT
RXN-7781,PWY-4502,True,"CPD-3141, CPD-4211","CPD-6721, PPI",LEFT-TO-RIGHT
TRANS-RXN-231,PWY-7061,False,GLN,GLN,LEFT-TO-RIGHT
TREHALOSE6PSYN-RXN,TRESYN-PWY,False,"CPD-12575, D-glucopyranose-6-phosphate","PROTON, UDP, TREHALOSE-6P",LEFT-TO-RIGHT
RXN-2602,PWY-6027,False,"CONIFERYL-ALCOHOL, NADP","CONIFERYL-ALDEHYDE, NADPH, PROTON",RIGHT-TO-LEFT
RXN-10919,UNK,False,"SINAPATE, CO-A, ATP","SINAPOYL-COA, AMP, PPI",LEFT-TO-RIGHT
RXN-15641,PWY-7522,False,"CPD-16870, NADPH, PROTON","R-CANADINE, NADP",LEFT-TO-RIGHT
1.14.19.1-RXN,UNK,False,"FERROCYTOCHROME-B5, FERROCYTOCHROME-B5, STEAROYL-COA, OXYGEN-MOLECULE, PROTON","FERRICYTOCHROME-B5, FERRICYTOCHROME-B5, OLEOYL-COA, WATER",LEFT-TO-RIGHT
RXN-19978,PWY-5292,True,"CPD-21550, NADP","CPD-21551, NADPH, PROTON",RIGHT-TO-LEFT
RXN-9167,PWY-5826,False,2-OXOBUTANOATE,CPD-9727,LEFT-TO-RIGHT
RXN-15282,PWY-6585,False,"3-oxo-palmitoyl-ACPs, WATER","CPD-16497, ACP, PROTON",LEFT-TO-RIGHT
TRANS-RXNIO2-3,PWYIO2-3,False,HCO3,HCO3,LEFT-TO-RIGHT
MALATE-DEHYDROGENASE-NADP+-RXN,PWY-7048,False,"NADP, MAL","PROTON, NADPH, OXALACETIC_ACID",LEFT-TO-RIGHT
RXN-8253,PWY-5317,True,UNKNOWN,TROPINONE,LEFT-TO-RIGHT
RXN-20435,PWY18C3-1,False,"CPD-22130, NADP","CPD-22132, NADPH, PROTON",RIGHT-TO-LEFT
RXN-9275,PWY-5287,False,"PROTON, DIHYDROCHELIRUBINE, OXYGEN-MOLECULE","CPD-9893, HYDROGEN-PEROXIDE",LEFT-TO-RIGHT
RXN-8232,PWY-5307,True,"CPD-7966, CAFFEOYL-COA","CPD-7963, CO-A",LEFT-TO-RIGHT
RXN18C3-40,PWY18C3-12,True,"CPD-19054, ACETYL-COA","CPD-19058, CO-A",LEFT-TO-RIGHT
RXN-8225,PWY-5301,True,16-EPIVELLOSIMINE,VELLOSIMINE,LEFT-TO-RIGHT
RXN-16020,PWY-6958,False,"CPD-17262, NADH-P-OR-NOP, PROTON","CPD-17263, NAD-P-OR-NOP",LEFT-TO-RIGHT
NAD-KIN-RXN,PWY-5083,False,"NAD, ATP","PROTON, NADP, ADP",LEFT-TO-RIGHT
RXN-4225,PWY-2582,False,"CPD-707, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-3943, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-13967,PWY-7256,True,"1-O-SINAPOYL-BETA-D-GLUCOSE, CPD1F-766, CPD1F-766, 1-O-SINAPOYL-BETA-D-GLUCOSE","CPD-7138, SINAPATE",LEFT-TO-RIGHT
RXN4FS-20,PWY4FS-17,True,"CPD-692, Donor-H2","CPD4FS-7, Acceptor",LEFT-TO-RIGHT
RXN-4725,PWY-2901,False,"CPD-12575, CPD-332","PROTON, CPD-4616, UDP",LEFT-TO-RIGHT
UPPSYN-RXN,PWYQT-4449,False,"Di-trans-poly-cis-polyprenyl-PP, DELTA3-ISOPENTENYL-PP","PPI, Di-trans-poly-cis-polyprenyl-PP",LEFT-TO-RIGHT
1.14.13.56-RXN,PWY-5287,False,"DIHYDROSANGUINARINE, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","10-HYDROXYDIHYDROSANGUINARINE, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-15479,PWY-7731,False,"Oxidized-Plastocyanins, Reduced-ferredoxins","Light, Plastocyanin-Reduced, Oxidized-ferredoxins",RIGHT-TO-LEFT
RXN-8444,PWY-5316,True,"NICOTINATE_NUCLEOTIDE, WATER","CPD-15317, NIACINE, PROTON",LEFT-TO-RIGHT
RXN-18125,PWY-7826,False,"S-ADENOSYLMETHIONINE, CPD-19431","ADENOSYL-HOMO-CYS, CPD-19430, PROTON",LEFT-TO-RIGHT
RXN-13858,PWY-7152,False,"Linoleoyl-groups, FERROCYTOCHROME-B5, OXYGEN-MOLECULE, PROTON","pinolenoyl-lipid, FERRICYTOCHROME-B5, WATER",LEFT-TO-RIGHT
RXN-12412,PWY-5942,True,"NEUROSPORENE, Acceptor","CPD1F-114, Donor-H2",LEFT-TO-RIGHT
RXN-4443,PWY-2724,False,"Long-Chain-Alkanes, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","Long-chain-alcohols, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
1.1.1.170-RXN,UNK,False,"NAD-P-OR-NOP, NAD-P-OR-NOP, CPD-5846","CARBON-DIOXIDE, NADH-P-OR-NOP, NADH-P-OR-NOP, CARBON-DIOXIDE, 4-ALPHA-METHYL-5-ALPHA-CHOLEST-7-EN-3-ON",LEFT-TO-RIGHT
SUPEROX-DISMUT-RXN,DETOX1-PWY,False,"SUPER-OXIDE, PROTON","HYDROGEN-PEROXIDE, OXYGEN-MOLECULE",LEFT-TO-RIGHT
RXN-11656,UNK,False,CPD-12620,"CPD-12622, PROTON",
RXN-12109,PWY-6704,False,5-DEHYDROGLUCONATE,"CPD-13061, GLYCOLALDEHYDE",LEFT-TO-RIGHT
RXN-12598,PWY-6887,True,"CPD-13541, NADPH, OXYGEN-MOLECULE","NADP, WATER, CPD-13540",LEFT-TO-RIGHT
RXN-14047,UNK,False,CIT,THREO-DS-ISO-CITRATE,LEFT-TO-RIGHT
RXN-20588,PWY18C3-2,False,"CPD-22270, NADP","CPD-22269, NADPH, PROTON",RIGHT-TO-LEFT
ETHANOLAMINE-KINASE-RXN,PHOSLIPSYN2-PWY,False,"ETHANOL-AMINE, ATP","PROTON, PHOSPHORYL-ETHANOLAMINE, ADP",LEFT-TO-RIGHT
RXN-17183,PWY-7739,False,"S-ADENOSYLMETHIONINE, CPD-18575","CPD-14666, ADENOSYL-HOMO-CYS, PROTON",LEFT-TO-RIGHT
RXN-11377,PWY-6483,False,Sphingoid-1-phosphates,"PHOSPHORYL-ETHANOLAMINE, Aldehydes",LEFT-TO-RIGHT
RXNQT-4391,PWYQT-4482,False,"GLYCEROL-3P, Oleoyl-ACPs","ACP, L-1-LYSOPHOSPHATIDATE",LEFT-TO-RIGHT
RXN-4343,UNK,False,CPD-3441,CPD-4281,
RXN-8937,PWY-5729,False,"S-ADENOSYLMETHIONINE, CPD-9366","PROTON, CPD-9367, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
RXN4FS-11,UNK,False,"L-GULONO-1-4-LACTONE, Cytochromes-C-Oxidized","L-DEHYDRO-ASCORBATE, Cytochromes-C-Reduced, PROTON",
RXN18C3-49,PWY18C3-12,True,"CPD-19027, ISOBUTYRYL-COA","CPD-19131, CO-A",LEFT-TO-RIGHT
RXN-17900,UNK,False,"PHOSPHORIBULOSYL-FORMIMINO-AICAR-P, AMMONIUM","D-ERYTHRO-IMIDAZOLE-GLYCEROL-P, AICAR, WATER, PROTON",LEFT-TO-RIGHT
CYCLOEUCALENOL-CYCLOISOMERASE-RXN,PWY-2541,False,CYCLOEUCALENOL,OBTUSIFOLIOL,LEFT-TO-RIGHT
RXN-8535,PWY-5422,True,"PROTON, CPD-8699, NADPH, OXYGEN-MOLECULE","CPD-8726, NADP, WATER",LEFT-TO-RIGHT
UDP-GLUCURONOSYLTRANSFERASE-RXN,UNK,False,"UDP-GLUCURONATE, Non-Glucur-Glucuronoside-Acceptors, Non-Glucur-Glucuronoside-Acceptors, UDP-GLUCURONATE","Glucuronosylated-Glucuronoside-Acceptors, UDP, PROTON",LEFT-TO-RIGHT
4.2.3.19-RXN,PWY-5053,True,ENT-COPALYL-DIPHOSPHATE,"PPI, CPD1F-128",LEFT-TO-RIGHT
PHENYLPYRUVATE-TAUTOMERASE-RXN,UNK,False,PHENYL-PYRUVATE,ENOL-PHENYLPYRUVATE,LEFT-TO-RIGHT
RXN-13982,PWY-7171,True,"P-COUMAROYL-COA, CPD-14981, P-COUMAROYL-COA","CO-A, CPD-14985, CO-A",LEFT-TO-RIGHT
RXN-7892,UNK,False,"OXYGEN-MOLECULE, CPD-7197, OXYGEN-MOLECULE","CPD-7202, CPD-7203, CPD-7203, CPD-7202",LEFT-TO-RIGHT
RXN-1142,PWYQT-4475,True,"CONIFERYL-ALDEHYDE, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","5-HYDROXY-CONIFERALDEHYDE, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXN-4823,PWY-2961,True,FARNESYL-PP,"CPD-4703, PPI",LEFT-TO-RIGHT
RXN-9097,PWY-5797,False,"Glucosylated-Glucose-Acceptors, 2-OXINDOLE-3-ACETYL-ASP","Non-Glucosylated-Glucose-Acceptors, CPD-9602",LEFT-TO-RIGHT
RXN-19633,PWY-6326,True,"CPD-11775, OXYGEN-MOLECULE",CPD-21263,LEFT-TO-RIGHT
TRANS-RXN4LZ-6867,PWY4LZ-283,False,NITRITE,NITRITE,LEFT-TO-RIGHT
2.4.1.119-RXN,MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS,False,"CPD-18076, Protein-L-Asparagine","Dolichol-PP, CPD-18077, PROTON",LEFT-TO-RIGHT
RXN-10769,UNK,False,"WATER, CPD-11641, CPD-11641, WATER","CPD-182, Glucopyranose",LEFT-TO-RIGHT
ACETYLORNTRANSAM-RXN,GLUTORN-PWY,False,"N-ALPHA-ACETYLORNITHINE, 2-KETOGLUTARATE","GLT, CPD-469",RIGHT-TO-LEFT
RXN-19636,PWY-7994,False,"CPD-21265, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-21266, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN18C3-36,PWY18C3-12,True,"CPD-19048, ACETYL-COA","CPD-19049, CO-A",LEFT-TO-RIGHT
RXN-4504,PWY-2761,True,"CPD-14740, NADP","2-HYDROXY-23-DIHYDRODAIDZEIN, NADPH, PROTON",RIGHT-TO-LEFT
RXN-13647,PWY-6418,True,"CPD-12111, FORMALDEHYDE","DICOUMAROL, WATER",LEFT-TO-RIGHT
2.8.2.26-RXN,PWY-6199,True,"CPD-1822, PAPS","3-5-ADP, PROTON, QUERCETIN-33-BISSULFATE",LEFT-TO-RIGHT
LIPIDADISACCHARIDESYNTH-RXN,NAGLIPASYN-PWY,False,"BISOHMYR-GLUCOSAMINYL-1P, OH-MYRISTOYL","UDP, PROTON, PROTON, BISOHMYR-GLC, UDP",LEFT-TO-RIGHT
RXN-14870,PWY-7363,False,"S-ADENOSYLMETHIONINE, CPD-15801","PROTON, ADENOSYL-HOMO-CYS, CPD-15798, ADENOSYL-HOMO-CYS, PROTON",LEFT-TO-RIGHT
2.1.1.64-RXN,PWY-5871,False,"S-ADENOSYLMETHIONINE, CPD-7158","PROTON, CPD-9957, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
RXN-8324,PWY-762,False,"CPD-8092, OXYGEN-MOLECULE, FERROCYTOCHROME-B5, PROTON","CPD-8093, WATER, FERRICYTOCHROME-B5",LEFT-TO-RIGHT
RXN-19591,PWY-2821,True,"CPD-12385, WATER","CPD-7545, GLY",LEFT-TO-RIGHT
GLUTARYL-COA-DEHYDROG-RXN,LYSINE-DEG2-PWY,False,"GLUTARYL-COA, ETF-Oxidized, PROTON","GLUTACONYL-COA, ETF-Reduced",LEFT-TO-RIGHT
2.4.1.234-RXN,PWY-7191,True,"CPD1F-90, CPD-14553, CPD-14553, CPD1F-90","UDP, PROTON, PROTON, UDP, CPD-7260",LEFT-TO-RIGHT
RXN-12968,PWY-5353,False,"CPD-14404, NADH-P-OR-NOP, PROTON","CPD-14405, NAD-P-OR-NOP",LEFT-TO-RIGHT
RXN-8056,PWY-5195,True,"CPD-7559, OXYGEN-MOLECULE",CPD-7560,LEFT-TO-RIGHT
MALATE-DEH-RXN,GLUCONEO-PWY,False,"MAL, NAD","PROTON, OXALACETIC_ACID, NADH",LEFT-TO-RIGHT
1TRANSKETO-RXN,NONOXIPENT-PWY,False,"D-SEDOHEPTULOSE-7-P, GAP","RIBOSE-5P, XYLULOSE-5-PHOSPHATE",LEFT-TO-RIGHT
RXN-13072,PWY-4361,False,"2-KETO-GLUTARAMATE, WATER","2-KETOGLUTARATE, AMMONIUM",LEFT-TO-RIGHT
PYRROLINECARBREDUCT-RXN,PWY-3341,False,"PRO, NAD-P-OR-NOP","NADH-P-OR-NOP, L-DELTA1-PYRROLINE_5-CARBOXYLATE, PROTON",RIGHT-TO-LEFT
RXN-12394,PWY-6806,False,"CPD1F-114, OXYGEN-MOLECULE","CPD-7202, CPD-13371",LEFT-TO-RIGHT
RXN-7021,PWY-6949,False,"CPD-12575, CPD-6365","CPD-13811, UDP",LEFT-TO-RIGHT
RXN-8030,PWY-5175,True,"CPD-7414, OXYGEN-MOLECULE, Donor-H2","CPD-7415, WATER, Acceptor",LEFT-TO-RIGHT
2.7.1.140-RXN,PWY-4562,False,"CPD-505, ATP","PROTON, CPD-1107, ADP",LEFT-TO-RIGHT
RXN-4002,PWY-2229,False,"S-ADENOSYLMETHIONINE, CPD-3942","PROTON, CPD-3944, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
RXN-1441,UNK,False,"INDOLE-3-ACETALDOXIME, NADPH, OXYGEN-MOLECULE, CYS","CPD-7547, NADP, WATER",
RXN-13900,PWY-7498,False,"S-ADENOSYLMETHIONINE, CPD-14866","CPD-14907, ADENOSYL-HOMO-CYS, PROTON",LEFT-TO-RIGHT
RXN-10438,UNK,False,"CPD-734, PHE, ATP","PROTON, CPD-11235, AMP, PPI",LEFT-TO-RIGHT
RXN-9373,UNK,False,"S-ADENOSYLMETHIONINE, CPD-9981","7-DEOXYLOGANIN, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
PRUNASIN-BETA-GLUCOSIDASE-RXN,PWY-6011,False,"WATER, CPD-553","CPD-12702, Glucopyranose",LEFT-TO-RIGHT
RXN-19715,PWY4FS-17,True,"CPD-14385, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-7731, WATER, Ox-NADPH-Hemoprotein-Reductases, PROTON",LEFT-TO-RIGHT
RXN-14112,UNK,False,"WATER, CPD-3713, WATER","PROTON, CPD-3711, PROTON",LEFT-TO-RIGHT
RXN-9187,PWY-5828,False,CPD-9752,CPD-9754,LEFT-TO-RIGHT
RXN-17491,PWY-7764,False,"CHLOROPHYLLIDE-A, Oxidized-ferredoxins","DIVINYLCHLOROPHYLLIDE-A, Reduced-ferredoxins, PROTON",RIGHT-TO-LEFT
PMPOXI-RXN,PWY-7204,False,"OXYGEN-MOLECULE, WATER, PYRIDOXAMINE-5P","AMMONIUM, HYDROGEN-PEROXIDE, PYRIDOXAL_PHOSPHATE",LEFT-TO-RIGHT
RXN-13915,PWY-7160,True,"S-ADENOSYLMETHIONINE, CPD-14935","ADENOSYL-HOMO-CYS, CPD-14936, CPD-14936, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
RXN-13799,PWY-7137,True,"CPD-12575, CPD-14821, CPD-12575","PROTON, UDP, CPD-14822, UDP, PROTON",LEFT-TO-RIGHT
RXN-7567,PWY-581,True,CPD-237,"INDOLEYL-CPD, WATER",RIGHT-TO-LEFT
RXN-11254,PWY-6438,True,CPD-12184,"CPD-12208, CO-A",LEFT-TO-RIGHT
RXN-7689,PWY-5059,True,"S-ADENOSYLMETHIONINE, CPD-6991","CPD-7028, ADENOSYL-HOMO-CYS",LEFT-TO-RIGHT
RXN-14917,PWY-7436,False,"S-ADENOSYLMETHIONINE, CPD-11712, CPD-11712","PROTON, ADENOSYL-HOMO-CYS, ADENOSYL-HOMO-CYS, CPD-15834, PROTON",LEFT-TO-RIGHT
RXN-6902,PWY-6473,False,"4-AMINO-BUTYRATE, PYRUVATE","SUCC-S-ALD, L-ALPHA-ALANINE",LEFT-TO-RIGHT
RXN-8278,PWY-5338,False,"CPD-8046, CPD-458","CPD-8048, MYO-INOSITOL",LEFT-TO-RIGHT
RXN-9317,PWY-5877,True,"CPD-9938, Methylated-methyl-acceptors","CPD-9939, Demethylated-methyl-acceptors",LEFT-TO-RIGHT
RXN-19833,PWY-2541,False,"CPD-21439, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","ALPHA-METHYL-5-ALPHA-ERGOSTA, FORMATE, WATER, Ox-NADPH-Hemoprotein-Reductases, PROTON",LEFT-TO-RIGHT
RXN-9035,PWY-5774,False,"CPD-12575, CPD-9483","CPD-9486, UDP",LEFT-TO-RIGHT
RXN-12087,UNK,False,"VINYL-ACETATE, WATER","ALLYL-ALCOHOL, FORMATE",LEFT-TO-RIGHT
RXN-7224,PWY-3097,False,"CPD-6646, NADP","CPD-6641, NADPH, PROTON",RIGHT-TO-LEFT
RXN-8307,PWY-782,False,"CPD-8074, OXYGEN-MOLECULE, Reduced-ferredoxins, PROTON","CPD-8076, WATER, Oxidized-ferredoxins",LEFT-TO-RIGHT
MMUM-RXN,PWY-5441,False,"CPD-397, HOMO-CYS","PROTON, MET",LEFT-TO-RIGHT
RXN-6542,UNK,False,"CPD-6221, 2-KETOGLUTARATE, OXYGEN-MOLECULE","CPD-6222, SUC, CARBON-DIOXIDE",LEFT-TO-RIGHT
RXN-13322,PWY-6433,False,"OLEOYL-COA, MALONYL-COA, PROTON","CPD-14300, CARBON-DIOXIDE, CO-A",LEFT-TO-RIGHT
RXN-4241,PWY-699,False,"CPD-720, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-17420, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-15466,PWY-7489,True,"CPD-16612, NAD-P-OR-NOP","CPD-16613, NADH-P-OR-NOP, PROTON",LEFT-TO-RIGHT
2.4.1.52-RXN,UNK,False,"CPD-12575, GLYCEROPHOSPHATEN1","ALPHA-D-GLUCOSYLPOLYGLYCEROL-PHOSPHATE, UDP, PROTON",
RXN-19831,PWY-2541,False,"OBTUSIFOLIOL, OXYGEN-MOLECULE, Red-NADPH-Hemoprotein-Reductases","CPD-21438, WATER, Ox-NADPH-Hemoprotein-Reductases",LEFT-TO-RIGHT
RXN-14378,PWY-622,False,"ADP-D-GLUCOSE, 1-4-alpha-D-Glucan","ADP, Alpha-Amyloses",LEFT-TO-RIGHT
RXN-8508,PWY-5411,True,"CPD-8691, Red-NADPH-Hemoprotein-Reductases, OXYGEN-MOLECULE","CPD-8692, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXN-113,PWY-6465,False,"CPD1F-140, 2-KETOGLUTARATE, OXYGEN-MOLECULE","CPD-236, SUC, CARBON-DIOXIDE",LEFT-TO-RIGHT
RXN-7683,PWY-5107,False,"PHYTOL, CTP","PROTON, CPD-7025, CDP",LEFT-TO-RIGHT
MALIC-NADP-RXN,GLUCONEO-PWY,False,"NADP, MAL","NADPH, CARBON-DIOXIDE, PYRUVATE",LEFT-TO-RIGHT
RXN-16940,PWY-7697,True,"CPD-18262, UDP-D-XYLOSE","CPD-14731, UDP, PROTON",LEFT-TO-RIGHT
RXN-9962,PWY-6128,False,FARNESYL-PP,"CPD-10707, PPI",LEFT-TO-RIGHT
RXN-7750,PWY-2083,True,"CPD-431, Red-NADPH-Hemoprotein-Reductases, PROTON, OXYGEN-MOLECULE","CPD-3161, Ox-NADPH-Hemoprotein-Reductases, WATER",LEFT-TO-RIGHT
RXNQT-4372,UNK,False,"S-ADENOSYLMETHIONINE, 2-METHYL-6-SOLANYL-14-BENZOQUINONE, 2-METHYL-6-SOLANYL-14-BENZOQUINONE","ADENOSYL-HOMO-CYS, CPDQT-459, CPDQT-459, ADENOSYL-HOMO-CYS",
RXN-10454,UNK,False,CPD-11232,CPD-11259,LEFT-TO-RIGHT
RXN-18621,PWY-5292,True,"CPD-19898, Acceptor","CPD-19891, Donor-H2",RIGHT-TO-LEFT
PREPHENATEDEHYDRAT-RXN,PWY-7432,False,"PREPHENATE, PROTON, PROTON, PREPHENATE","CARBON-DIOXIDE, WATER, PHENYL-PYRUVATE, PHENYL-PYRUVATE, WATER, CARBON-DIOXIDE",LEFT-TO-RIGHT
